workerid,proliferate.condition,A_key,B_key,C1,C2,audio_error,audio_finished,audio_path,audio_play_count,audio_played,c1_option,chosen_key,chosen_option,chosen_text,cleft_sentence,expected_key,expected_option,filler_type,focused_sentence,group,item,item_feedback,item_list,list_assigned,neutral_sentence,raw_score,rt_ms,score_rel_c1,score_rel_expected,slide_number_in_experiment,slider_value,spoken_sentence,type,variant,catch_trials,list_assigned,subject_information.assess,subject_information.comments,subject_information.enjoyment,subject_information.experiment_about,subject_information.fairprice,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
460,list 3,C1,C2,It was raining heavily outside.,The children like eating pasta.,False,True,audio_filler/F01.wav,1,True,A,C1,A,It was raining heavily outside.,,C1,A,clear,,Filler,F01,,,3,,-3,10665,3,3,5,1,The children stayed inside all day.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,His friend was the one who had set it up.,He had also set it up.,False,True,audio/exp1_018_neutral.wav,1,True,B,C2,A,He had also set it up.,It was organizing the storage shelf that Nick was busy with.,C2,A,,Nick was busy ORGANISING the storage shelf.,VP,18,,3,3,Nick was busy organizing the storage shelf.,-3,11246,-3,3,6,1,,critical,neutral,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,They wouldn't have been able to handle the spicy one.,He also cooked a pot of spicy curry for them.,False,True,audio/exp1_049_focus.wav,1,True,A,C1,A,They wouldn't have been able to handle the spicy one.,It was a mild curry that Gaurav cooked for his friends.,C1,A,,Gaurav cooked a MILD curry for his friends.,Adjective,49,,3,3,Gaurav cooked a mild curry for his friends.,-3,8732,3,3,7,1,,critical,focus,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,He hadn’t had time to read it.,He was also reading it.,False,True,audio/exp1_019_focus.wav,1,True,A,C1,A,He hadn’t had time to read it.,It was printing the report that Gaurav was busy with.,C1,A,,Gaurav was busy PRINTING THE REPORT.,VP,19,,3,3,Gaurav was busy printing the report.,-3,7921,3,3,8,1,,critical,focus,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,It had been shipped earlier than planned.,The delivery service operates every day.,False,True,audio_filler/F10.wav,1,True,B,C1,B,It had been shipped earlier than planned.,,C1,B,clear,,Filler,F10,,,3,,3,13013,3,3,9,7,The package arrived in the morning.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,The original one had become very popular.,The new location is closer to the city center.,False,True,audio_filler/F18.wav,1,True,A,C1,A,The original one had become very popular.,,,,nuanced,,Filler,F18,,,3,,-3,11192,3,,10,1,The restaurant opened a new location.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,The hinges seemed fine to him.,He fixed the hinges as well.,False,True,audio/exp1_034_focus.wav,1,True,A,C2,B,He fixed the hinges as well.,It was the door handle that Ryan fixed.,C1,A,,Ryan fixed the DOOR HANDLE.,Object,34,,3,3,Ryan fixed the door handle.,3,11648,-3,-3,11,7,,critical,focus,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,No one was home at the time.,The neighbor lives next door.,False,True,audio_filler/F20.wav,1,True,A,C1,A,No one was home at the time.,,,,nuanced,,Filler,F20,,,3,,-3,5648,3,,12,1,The package was delivered to the neighbor.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,Someone had opened the back door.,The alarm system was recently installed.,False,True,audio_filler/F02.wav,1,True,A,C1,A,Someone had opened the back door.,,C1,A,clear,,Filler,F02,,,3,,-3,6581,3,3,13,1,The alarm went off unexpectedly.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,A large group had made a reservation.,The restaurant has a long menu.,False,True,audio_filler/F08.wav,1,True,B,C1,B,A large group had made a reservation.,,C1,B,clear,,Filler,F08,,,3,,3,13989,3,3,14,7,The restaurant was fully booked.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
