workerid,proliferate.condition,A_key,B_key,C1,C2,chosen_key,chosen_option,chosen_text,expected_key,expected_option,filler_type,group,item,item_feedback,item_list,list_assigned,raw_score,rt_ms,score_rel_expected,sentence,slide_number_in_experiment,slider_value,type,variant,catch_trials,list_assigned,subject_information.assess,subject_information.comments,subject_information.enjoyment,subject_information.experiment_about,subject_information.fairprice,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
185,list 13,C2,C1,The ceramic ones were chipped.,He set out some ceramic ones as well.,C1,B,The ceramic ones were chipped.,C1,B,,Adjective,58,,13,13,2,14919,2,It was wooden trays that Mert used for the buffet.,5,6,critical,cleft,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,There were technical issues with the sound system.,The band practices every week.,C1,B,There were technical issues with the sound system.,C1,B,clear,Filler,F04,,,13,3,3947,3,The concert started later than planned.,6,7,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C1,C2,Their backpacks were already packed by the door.,They gathered their things in the living room.,C2,B,They gathered their things in the living room.,C1,A,clear,Filler,F19,,,13,1,8328,-1,The children finished their homework early.,7,5,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C1,C2,She couldn't mop it due to her busy schedule.,She also mopped it.,C2,B,She also mopped it.,C2,B,,VP,29,,13,13,3,4701,3,Sally was busy with vacuuming the guest room.,8,7,critical,neutral,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,She settled in and looked out as the plane prepared for take-off.,The seat was next to the wing and close to the aisle.,C1,B,She settled in and looked out as the plane prepared for take-off.,C1,B,clear,Filler,F13,,,13,2,9514,2,Sophie chose the window seat.,9,6,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C1,C2,The new space has a larger dining area.,The interior features modern decor and bright lighting.,C1,A,The new space has a larger dining area.,C1,A,clear,Filler,F18,,,13,-1,9165,1,The restaurant opened a new location.,10,3,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,He spent the evening in the kitchen preparing the meal.,He prepared a simple meal using vegetables and pasta.,C1,B,He spent the evening in the kitchen preparing the meal.,C1,B,clear,Filler,F15,,,13,2,4877,2,Tom cooked dinner for everyone.,11,6,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C1,C2,She spent some time comparing different models.,She spent some time browsing different brands and designs.,C1,A,She spent some time comparing different models.,C1,A,clear,Filler,F11,,,13,-2,5279,2,Lena bought a new laptop last week.,12,2,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,She set up her laptop at the kitchen table.,She logged into her email shortly after starting her day.,C1,B,She set up her laptop at the kitchen table.,C1,B,clear,Filler,F17,,,13,2,6021,2,Laura decided to work from home.,13,6,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,He left the house later than usual.,The bus route passes through the city centre.,C1,B,He left the house later than usual.,C1,B,clear,Filler,F03,,,13,2,3869,2,Alex missed the bus.,14,6,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
